contentVersion,class,spec,role,phase,context,setId,slot,itemId,tier,rank,sourceType,sourceName,activity,boss,faction,race,profession,notes,provenanceId,verificationStatus
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Head,18817,excellent,1,raid,Molten Core,Molten Core,Ragnaros,"","","","Raid alternative; Lionheart Helm remains the normal ultimate DPS head target; useful stamina/fire-resistance context.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Neck,18404,bis,1,quest,Onyxia's Lair,Onyxia's Lair,"","","","","Faction-aware one-time quest reward; ultimate Phase 1 neck target; raid participation required.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Wrist,19146,bis,1,raid,Molten Core,Molten Core,"","","","","Ultimate Phase 1 wrist target; verify exact drop-source semantics before publication.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Hands,19143,excellent,1,raid,Molten Core,Molten Core,"","","","","Contextual glove option; evaluate race, weapon skill, Edgemaster's Handguards, and Devilsaur ownership.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Hands,18823,excellent,2,raid,Molten Core,Molten Core,"","","","","Conditional dagger-build glove; +5 dagger skill and 1% critical strike; do not universally replace Devilsaur, Edgemaster's, or Flameguard.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Waist,19137,bis,1,raid,Molten Core,Molten Core,Ragnaros,"","","","Aspirational Phase 1 waist target; Brigam Girdle remains a realistic inherited alternative.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Finger 1,18821,bis,1,raid,Molten Core,Molten Core,"","","","","Legal paired ring pool; unique restrictions apply.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Finger 1,17063,excellent,2,raid,Molten Core,Molten Core,Ragnaros,"","","","Hit-heavy contextual ring; unique and high-competition restrictions apply.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Main Hand,17075,bis,1,raid,Onyxia's Lair,Onyxia's Lair,"","",Human,"","Unique one-hand sword; aspirational Human sword-context target.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Main Hand,17068,bis,2,raid,Onyxia's Lair,Onyxia's Lair,"","",Orc,"","One-hand axe; aspirational Orc axe-context target; not forced above Human sword configurations.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Main Hand,18832,excellent,3,raid,Molten Core,Molten Core,Garr,"","","","Unique one-hand sword; evaluate as either hand in a legal paired loadout.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Off Hand / Shield,18832,excellent,1,raid,Molten Core,Molten Core,Garr,"","","","Unique one-hand sword; evaluate as either hand in a legal paired loadout.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Off Hand / Shield,18805,excellent,2,raid,Molten Core,Molten Core,Majordomo Executus / Cache of the Firelord,"","","","Conditional dagger option; requires valid dagger weapon-skill context such as Edgemaster's.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Off Hand / Shield,18816,strong,3,raid,Molten Core,Molten Core,Ragnaros,"","","","Conditional dagger option; weapon-skill dependent and requires human review.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Main Hand,18816,strong,4,raid,Molten Core,Molten Core,Ragnaros,"","","","One-hand dagger; legal Main Hand and Off Hand candidate; evaluate with Core Hound Tooth as a pair when dagger skill is solved.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Ranged / Relic,17069,bis,1,raid,Molten Core,Molten Core,Magmadar,"","","","Ultimate Phase 1 ranged/stat-stick target.",prepull-curated-2026-08,curated
era,warrior,fury,DPS,phase-1,general,era-fury-phase-1,Ranged / Relic,17072,excellent,2,raid,Molten Core,Molten Core,Golemagg the Incinerator,"","","","Strong raid alternative; retain inherited ranged options beneath it.",prepull-curated-2026-08,curated
