contentVersion,class,spec,role,phase,context,setId,slot,itemId,tier,rank,sourceType,sourceName,activity,boss,faction,race,profession,notes,provenanceId,verificationStatus
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Head,18727,bis,1,dungeon,Stratholme,Stratholme,Magistrate Barthilas,,,,Reviewed all-spell caster target.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Neck,12103,bis,1,dungeon,Stratholme,Stratholme,Balnazzar,,,,Spell-hit option; no universal hit target is claimed.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Shoulder,11782,bis,1,dungeon,Blackrock Depths,Blackrock Depths,Lord Incendius,,,,Frost-oriented dungeon target.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Back,11623,bis,1,dungeon,Blackrock Depths,Blackrock Depths,Houndmaster Grebmar,,,,General spell-damage progression option.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Chest,14152,bis,1,crafted,Tailoring,Tailoring,,,,Tailoring,"Mage-only bind-on-pickup craft; requires Tailoring 300 and the learned pattern.",mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Wrist,18497,bis,1,dungeon,Dire Maul,Dire Maul,Gordok guards,,,,Shared Gordok guard loot.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Hands,13253,bis,1,dungeon,Lower Blackrock Spire,Lower Blackrock Spire,Quartermaster Zigris,,,,General spell-damage dungeon target.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Waist,11662,bis,1,dungeon,Blackrock Depths,Blackrock Depths,Ok'thor the Breaker,,,,Spell-hit option; no simulated value is claimed.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Legs,13170,bis,1,dungeon,Lower Blackrock Spire,Lower Blackrock Spire,Highlord Omokk,,,,General caster progression option.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Feet,11822,bis,1,dungeon,Blackrock Depths,Blackrock Depths,Golem Lord Argelmach,,,,General spell-damage dungeon target.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Finger 1,12543,bis,1,quest,The Princess Saved?,Blackrock Depths,,Alliance,,,Alliance quest-reward path.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Finger 1,12545,bis,2,quest,The Princess's Surprise,Blackrock Depths,,Horde,,,Horde quest-reward path.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Finger 2,13001,bis,1,world-drop,Azeroth,Azeroth,,,,,Conditional world-drop option; not treated as the default realistic path.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Finger 2,16058,excellent,2,quest,In Dreams,Western Plaguelands,,,,,Deterministic quest alternative to the world-drop target.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Trinket 1,12930,bis,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,Jed Runewatcher,,,,Unique trinket.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Trinket 2,13968,bis,1,quest,General Drakkisath's Demise,Burning Steppes,,,,,Unique quest reward.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Main Hand,13964,bis,1,dungeon,Scholomance,Scholomance,Darkmaster Gandling,,,,One-hand caster weapon; may be paired with an off-hand.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Main Hand,18534,excellent,2,dungeon,Dire Maul,Dire Maul,King Gordok,,,,Two-handed alternative; an off-hand cannot be equipped with it.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Off Hand / Shield,11904,bis,1,quest,Aquementas,Un'Goro Crater,,,,,Off-hand option for a one-hand weapon setup.,mage-classic-era-2026-09,curated
era,mage,frost,DPS,pre-raid,general,era-frost-mage-pre-raid,Ranged / Relic,13938,bis,1,dungeon,Scholomance,Scholomance,Darkmaster Gandling,,,,Classic wand-slot progression target.,mage-classic-era-2026-09,curated
