contentVersion,class,spec,role,phase,context,setId,slot,itemId,tier,rank,sourceType,sourceName,activity,boss,faction,race,profession,notes,provenanceId,verificationStatus
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Head,12640,bis,1,crafted,Blacksmithing,Blacksmithing,,,,Blacksmithing,Top pre-raid DPS target; expensive crafted option.,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Head,13404,excellent,2,dungeon,Stratholme,Stratholme,The Unforgiven,,,,,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Head,12587,strong,3,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,Warchief Rend Blackhand,,,,,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Neck,15411,bis,1,quest,In Dreams,Western Plaguelands,,,,,Strong quest reward and practical pre-raid target.,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Neck,17044,excellent,2,quest,Aurius' Reckoning,Stratholme,,,,,,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Neck,11933,strong,3,dungeon,Blackrock Depths,Blackrock Depths,Emperor Dagran Thaurissan,,,,,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Shoulder,12927,bis,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,Pyroguard Emberseer,,,,,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Shoulder,12082,excellent,2,quest,A Taste of Flame,Blackrock Depths,,,,,,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Shoulder,16733,alternative,3,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,Warchief Rend Blackhand,,,,More defensive alternative than the primary DPS choices.,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Back,13340,bis,1,dungeon,Stratholme,Stratholme,Baron Rivendare,,,,,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Back,11626,excellent,2,dungeon,Blackrock Depths,Blackrock Depths,High Interrogator Gerstahn,,,,,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Back,13397,strong,3,dungeon,Stratholme,Stratholme,Stonespine,,,,,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Chest,11726,bis,1,dungeon,Blackrock Depths,Blackrock Depths,Gorosh the Dervish,,,,Primary curated pre-raid chest target.,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Chest,14637,strong,2,dungeon,Scholomance,Scholomance,Various side bosses,,,,,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Chest,13944,alternative,3,dungeon,Scholomance,Scholomance,Darkmaster Gandling,,,,,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Wrist,12936,bis,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,Warchief Rend Blackhand,,,,,prepull-curated-2026-08,curated
era,warrior,fury,DPS,pre-raid,general,era-fury-pre-raid,Wrist,13400,excellent,2,dungeon,Stratholme,Stratholme,Timmy the Cruel,,,,,prepull-curated-2026-08,curated
